caseID	sentID	speaker	word	killer_gold	other_gold	suspect_gold	human_guess	medion_time	start_time	end_time	i1_time	i2_time	i3_time	i4_time	i5_time
1	0	None	camera	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	focuses	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	on	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	a	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	red	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	white	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	and	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	black	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	for	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	sale	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	sign	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	for	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	augieheitz	N	N	Y	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	realtor	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	702	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	0	None	555-0111	N	N	N	N	00:00:07.541	00:00:06.002000	00:00:09.081000	00:00:06.25600	00:00:06.43200	00:00:06.57600	00:00:06.67200	00:00:07.24800
1	1	None	another	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	fine	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	home	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	brought	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	to	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	you	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	by	N	N	N	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	1	None	augieheitz	N	N	Y	N	00:00:10.620	00:00:09.081000	00:00:12.160000	00:00:09.66933	00:00:10.09600	00:00:11.46667	00:00:11.71733	00:00:11.87200
1	2	None	a	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	man	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	peterberglund	Y	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	and	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	a	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	woman	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	janinewood	N	Y	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	walk	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	up	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	the	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	property	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	2	None	walkway	N	N	N	N	00:00:13.699	00:00:12.160000	00:00:15.239000	00:00:12.19733	00:00:12.61333	00:00:12.78933	00:00:13.02933	00:00:15.14133
1	3	janinewood	wow	N	N	N	N	00:00:16.367	00:00:15.240000	00:00:17.495000	00:00:15.94667	00:00:16.77333	00:00:16.89067	00:00:17.08267	00:00:17.32267
1	3	janinewood	i	N	Y	N	N	00:00:16.367	00:00:15.240000	00:00:17.495000	00:00:15.94667	00:00:16.77333	00:00:16.89067	00:00:17.08267	00:00:17.32267
1	3	janinewood	love	N	N	N	N	00:00:16.367	00:00:15.240000	00:00:17.495000	00:00:15.94667	00:00:16.77333	00:00:16.89067	00:00:17.08267	00:00:17.32267
1	3	janinewood	it	N	N	N	N	00:00:16.367	00:00:15.240000	00:00:17.495000	00:00:15.94667	00:00:16.77333	00:00:16.89067	00:00:17.08267	00:00:17.32267
1	3	janinewood	already	N	N	N	N	00:00:16.367	00:00:15.240000	00:00:17.495000	00:00:15.94667	00:00:16.77333	00:00:16.89067	00:00:17.08267	00:00:17.32267
1	4	janinewood	i	N	Y	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	ca	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	n't	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	believe	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	you	Y	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	're	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	doing	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	4	janinewood	this	N	N	N	N	00:00:18.622	00:00:17.495000	00:00:19.750000	00:00:17.98400	00:00:18.04267	00:00:18.55467	00:00:19.10933	00:00:19.25867
1	5	None	they	Y	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	5	None	stop	N	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	5	None	at	N	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	5	None	the	N	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	5	None	front	N	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	5	None	door	N	N	N	N	00:00:19.772	00:00:19.750000	00:00:19.794000	00:00:19.74933	00:00:19.76000	00:00:19.76533	00:00:19.77067	00:00:19.78133
1	6	None	peterberglund	Y	N	N	N	00:00:19.816	00:00:19.794000	00:00:19.839000	00:00:19.79200	00:00:19.80800	00:00:19.81333	00:00:19.82400	00:00:19.82933
1	6	None	goes	N	N	N	N	00:00:19.816	00:00:19.794000	00:00:19.839000	00:00:19.79200	00:00:19.80800	00:00:19.81333	00:00:19.82400	00:00:19.82933
1	6	None	to	N	N	N	N	00:00:19.816	00:00:19.794000	00:00:19.839000	00:00:19.79200	00:00:19.80800	00:00:19.81333	00:00:19.82400	00:00:19.82933
