caseID	sentID	speaker	word	killer_gold	other_gold	suspect_gold	human_guess	medion_time	start_time	end_time	i1_time	i2_time	i3_time	i4_time	i5_time
1	0	None	the	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	camera	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	moves	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	low	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	to	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	the	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	0	None	ground	N	N	N	N	00:00:07.807	00:00:06.002000	00:00:09.613000	00:00:07.08267	00:00:07.61067	00:00:08.29333	00:00:08.83733	00:00:09.08267
1	1	None	the	N	N	N	N	00:00:11.418	00:00:09.613000	00:00:13.224000	00:00:10.53333	00:00:10.77333	00:00:11.16800	00:00:12.43733	00:00:12.44800
1	1	None	leaves	N	N	N	N	00:00:11.418	00:00:09.613000	00:00:13.224000	00:00:10.53333	00:00:10.77333	00:00:11.16800	00:00:12.43733	00:00:12.44800
1	1	None	on	N	N	N	N	00:00:11.418	00:00:09.613000	00:00:13.224000	00:00:10.53333	00:00:10.77333	00:00:11.16800	00:00:12.43733	00:00:12.44800
1	1	None	the	N	N	N	N	00:00:11.418	00:00:09.613000	00:00:13.224000	00:00:10.53333	00:00:10.77333	00:00:11.16800	00:00:12.43733	00:00:12.44800
