scene_id,sentence_id,sentence_text,in_summary
0,0, ( The chains pull the roller coaster up the large ramp . ),0
0,1, ( The MOTHER and DAUGHTER sit in their seat just behind JOEY . ),0
0,2, [[Daughter]] i do n't wan na go !,0
0,3, [[Daughter]] ooh !,0
0,4," [[Daughter]] oh , mommy",0
0,5, ( JOEY unbuckles his seat belt and turns around to look back at them . ),0
0,6, [[Joey]] we 're all going to die,0
0,7, [[Daughter]] cut it out !,0
0,8," [[Mother]] joey , put your seat belt on",0
0,9, [[Mother]] now !,0
0,10, ( The cars reach the top and they can feel it as it starts its journey down the rails . ),0
0,11, [[Voice]] here we go !,0
0,12," [[Voice]] voice : oh , my goodness !",0
0,13, [[Voice]] voice : whoa !,0
0,14, ( A close up of the coaster wheels shows it wobbling . ),0
0,15, ( Various cuts of the roller coaster ride with some emphasis on the wheels . ),0
0,16, ( The roller coaster comes to a stop at the platform . ),0
0,17," [[Mother]] okay , guys , come on",0
0,18, ( The family gets off of the ride . ),0
0,19, [[Daughter]] that was so fun,0
0,20, ( The next set of passengers board the coaster ride . ),0
0,21," [[Zack_Lawrence]] all right , ladies and gentlemen , welcome to pharaoh 's fever",0
0,22, [[Zack_Lawrence]] buckle up,0
0,23, [[Zack_Lawrence]] get ready to scream,0
0,24, ( The passengers are locked in and the ride starts . ),0
0,25, ( The young family steps out onto the walkway and heads over to the nearby food vendor . ),0
0,26, ( The kids are still excited about the ride . ),0
0,27, [[Joey]] that was so awesome,0
0,28, [[Daughter]] when can we ride again ?,0
0,29," [[Mother]] um , we 'll ride it in a minute",0
0,30, ( The MOTHER turns to place in the order . ),0
0,31," [[Mother]] um , four king tut burgers , uh , two nile river ice teas and two milks",0
0,32, [[Daughter]] milk is nasty,0
0,33, [[Mother]] yeah,0
0,34," ( At the sounds of the excessive screams , the family looks up in time to see the roller coaster cars fly off of the tracks )",0
0,35, ( The roller coaster cars crash head first into the red car parked in the parking lot . ),0
1,0, ( BRASS stands in front of the wrecked car . ),1
1,1, ( The bodies of the riders are still on the pavement . ),1
1,2, ( GRISSOM ducks under the crime scene tape and walks over to BRASS . ),0
1,3," [[Brass]] so , dr thrillseeker , you ever been on this roller coaster ?",0
1,4, ( GRISSOM looks up at the ride . ),1
1,5," [[Grissom]] pharaoh 's fever , yeah ... but my ride ended at the platform",0
1,6, [[Grissom]] what do you know ?,0
1,7, [[Brass]] six dead,0
1,8, [[Brass]] park full of eyewitnesses saw the train fly off the tracks,0
1,9, [[Brass]] four-oh-one-b,0
1,10, [[Grissom]] accident with injury,0
1,11, [[Brass]] uh-huh,0
1,12, [[Grissom]] it 's also a four-eighteen-b,0
1,13, [[Brass]] a runaway ?,0
1,14, [[Grissom]] a runaway train,0
2,0," ( The amusement park parking lot is filled with personnel , curious on-lookers and the media . )",0
2,1," ( An OFFICER holds up the tape for NICK , SARA and GREG . )",0
2,2, ( GREG is carrying SARA 'S kit for her in addition to his own . ),0
2,3, ( They make their way over to GRISSOM . ),0
2,4, [[Nick]] hey,0
2,5, [[Nick]] sorry we 're late,0
2,6, [[Nick]] there was a news van blocking the entrance,0
2,7, [[Grissom]] this is the first time a roller coaster has derailed in clark county,0
2,8," [[Grissom]] huge criminal and civil liabilities issues , so keep it quiet",0
2,9, [[Grissom]] photograph the scene,0
2,10, [[Grissom]] bag and tag all the detritus,0
2,11, [[Grissom]] forklift anything bigger than greg,0
2,12, [[Grissom]] we 're going to put up a tent on the other side of the parking lot for accident reconstruction,0
2,13, [[Grissom]] questions ?,0
2,14, [[Greg]] yeah,0
2,15, [[Greg]] what 's that guy doing so far away from the others ?,0
2,16, ( They look over at the lone body on the ground away from the wreckage . ),0
2,17," [[Grissom]] curious , is n't it ?",0
2,18, ( GRISSOM turns and leaves . ),0
2,19, ( GREG looks at SARA . ),0
2,20," [[Greg]] so , when he asks if anybody has any questions , he 's not really asking ?",0
2,21," [[Sara]] well , i do n't know much about roller coaster accidents , but in auto collisions , the victims found furthest away from the car usually were n't wearing a seat belt",0
2,22, [[Sara]] that 'd be my bet,0
2,23, ( Quick flashback to : [_DAY_] The roller coaster car flies off the track . ),0
2,24, ( The lone body flies out of the car . ),0
2,25, ( End of flashback . ),0
2,26, ( Resume to present . ),0
2,27," [[Nick]] okay , let 's go to work",0
2,28, [[Greg]] what should i do ?,0
2,29," [[Nick]] uh , photo-evidence log -- just record everything we collect , okay ?",0
3,0, ( The OFFICER shows WARRICK and CATHERINE to the body . ),1
3,1, ( DAVID PHILLIPS is already there logging his findings . ),0
3,2, [[Officer]] couple of mountain bikers called in the body,0
3,3, [[Officer]] coroner just arrived,0
3,4," [[Catherine]] hi , david",0
3,5, [[David_Phillips]] hey,0
3,6, [[David_Phillips]] tessa press,1
3,7, [[David_Phillips]] school i.d,0
3,8, [[David_Phillips]] was in her pocket,1
3,9, [[David_Phillips]] she 's 13,1
3,10, ( CATHERINE and WARRICK kneels down next to the body to get a better look . ),0
3,11, [[Warrick]] i hate these cases,0
3,12, [[Catherine]] now ... the body position is inconsistent with her lividity,0
3,13," [[David_Phillips]] after she died , blood settled to her anterior and lividity fixed",1
3,14, [[Catherine]] so she had been facedown,1
3,15, [[David_Phillips]] yeah,0
3,16, [[Warrick]] and someone dumped her face up,1
3,17, ( DAVID PHILLIPS nods . ),0
3,18, [[Catherine]] how long has she been here ?,1
3,19, [[David_Phillips]] i 'll defer that question to the insects,0
3,20, ( DAVID rolls the body and shows them to CATHERINE . ),0
3,21, [[Catherine]] instar maggots,0
3,22," [[David_Phillips]] given the ambient temperature and last night 's rain , i 'd estimate she 's been out here twenty-four hours",1
3,23, [[Catherine]] takes that long for blowfly eggs to hatch,0
3,24," [[Warrick]] i guess the rain would 've washed away any trace evidence : tire prints , shoe impressions",0
3,25, [[Catherine]] let 's just hope there 's some evidence on her body,1
3,26," [[David_Phillips]] if you 're going to drive all the way out here to dump a body , why not take another ten minutes and bury her ?",0
3,27, [[Warrick]] guess it was n't worth the killer 's time,1
4,0, ( SARA continues to snap photos of the evidence and evidence markers on the asphalt . ),0
4,1, ( NICK bags the evidence while GREG logs them down . ),0
4,2, ( They work methodotically . ),0
4,3," ( In the background , we see the CORONERS remove the bodies . )",0
4,4, ( A large crane arrives to move the larger pieces -- smashed red car and roller coaster car . ),0
5,0, ( BRASS questions ZACK LAWRENCE . ),0
5,1," [[Brass]] so , how long you been operating the roller coaster ?",0
5,2, [[Zack_Lawrence]] couple of months,0
5,3, [[Zack_Lawrence]] i got a promotion,0
5,4, [[Zack_Lawrence]] i used to work the merry-go-round,0
5,5," [[Brass]] that 's a promotion , huh ?",0
5,6, [[Zack_Lawrence]] yeah,0
5,7, [[Zack_Lawrence]] only little kids go on the merry-go-round,0
5,8," [[Brass]] oh , i see",0
5,9, [[Brass]] so you get to meet girls your own age on pharaoh 's fever,0
5,10," [[Zack_Lawrence]] yeah , something like that",0
5,11, [[Brass]] what kind of training do you get to be an operator ?,0
5,12, [[Zack_Lawrence]] training ?,0
5,13, [[Zack_Lawrence]] i release the brake,0
5,14, [[Zack_Lawrence]] i press a button,0
5,15, [[Zack_Lawrence]] it 's green and marked 'start ',0
5,16, [[Brass]] i get the picture,0
5,17," [[Brass]] all right , look , there are six victims it 'd be helpful to know where each of them was sitting",0
5,18, [[Zack_Lawrence]] um ... front bench was a girl,0
5,19, [[Zack_Lawrence]] she was blond,0
5,20, [[Brass]] yeah ?,0
5,21, [[Zack_Lawrence]] cute,0
5,22, ( Quick flashback to : ZACK presses the green button . ),0
5,23, ( The ride starts . ),0
5,24," [[Zack_Lawrence]] uh , followed by a punk , old folks and some other dude",0
5,25, ( End of flashback . ),0
5,26, ( Resume to present . ),0
5,27, [[Brass]] that 's only five,0
5,28, [[Zack_Lawrence]] that 's all i remember,0
5,29, ( BRASS looks over at the photo vendor stand . ),0
5,30, ( There 's a big sign on it : SEE YOURSELF SCREAM ! ),0
5,31, [[Brass]] 'see yourself scream ' ?,0
5,32, [[Brass]] what 's this about ?,0
5,33, [[Zack_Lawrence]] we got a digital camera,0
5,34, [[Zack_Lawrence]] it 's mounted right over there,0
5,35, [[Brass]] how does that work ?,0
5,36, [[Zack_Lawrence]] camera 's on a trigger,0
5,37," [[Zack_Lawrence]] train passes by , automatically snaps a picture and stores it in the computer 's hard drive",0
5,38, [[Zack_Lawrence]] the train was airborne,0
5,39, [[Zack_Lawrence]] never even got close to the camera,0
5,40, [[Brass]] i 'm still going to want to take that computer,0
6,0, ( GRISSOM interviews WOODY . ),0
6,1, [[Woody]] i 'm the park 's chief engineer,0
6,2, [[Woody]] been working on coasters since before i was tall enough to ride 'em,0
6,3, [[Grissom]] you responsible for maintaining this roller coaster ?,0
6,4, [[Woody]] i keep all the rides up to code,0
6,5, [[Grissom]] you have any idea what would cause this train to go off the track ?,0
6,6," [[Woody]] well , in theory , i did n't think it was possible",0
6,7, [[Woody]] there 's never been an accident like this anywhere,0
6,8," [[Grissom]] so , you 're an expert ?",0
6,9, [[Woody]] on roller coasters ?,0
6,10, [[Woody]] hell yeah,0
6,11, [[Woody]] ten years of service on six flags ' american eagle before moving to vegas,0
6,12, ( GRISSOM looks down and sees the nut . ),0
6,13, ( He uses his pen and picks it up . ),0
6,14, [[Grissom]] do you know what that is ?,0
6,15, [[Woody]] that 's a nut,1
6,16," [[Woody]] it , uh ... secures the wheel to the screw",0
6,17," [[Grissom]] well , one loose screw ... could n't cause a train to derail , could it ?",0
6,18," [[Woody]] no , no , there 's , uh ... eight wheels per train they-they 'd all have to be loose , and , uh ... that just does n't happen",0
6,19, ( Camera holds on a close up of the nut . ),0
7,0, ( They 've set up a large tent in the parking lot . ),0
7,1," ( Inside , GRISSOM walks in A long table has been set up with the various pieces of evidence gathered on it . )",0
7,2," ( NICK , SARA and GREG are going through everything . )",0
7,3, [[Grissom]] 'there are three things in human life that are important,0
7,4, [[Grissom]] the first is to be kind ; the second one is to be kind ; and the third one is to be kind ',0
7,5, [[Sara]] henry james,0
7,6, [[Grissom]] very good,0
7,7, [[Grissom]] author of one of the greatest horror stories ever written : turn of the screw,0
7,8, [[Grissom]] and i 'm looking for one,0
7,9, ( He holds up the baggie with the nut . ),0
7,10, [[Sara]] a screw ?,0
7,11, [[Grissom]] yes,0
7,12," [[Nick]] oh , well ... technically , these are eccentric shafts , not screws",0
7,13," [[Grissom]] well , as long as you can screw a nut on it , it 's a screw",0
7,14, [[Sara]] 'turn of the screw ' is n't really a horror story,0
7,15, [[Sara]] it 's more of a mystery,0
7,16," [[Sara]] did the governess kill the little boy , or did the ghost do it ?",0
7,17," [[Grissom]] well , it 's only a mystery if you believe in ghosts",0
7,18, ( GRISSOM picks up a screw and looks at the threads . ),0
7,19, [[Grissom]] end threads are stripped,0
7,20, [[Nick]] means the nuts were loose,0
7,21, [[Nick]] excessive play on the screws would 've worn down the threads,0
7,22, [[Grissom]] and the nuts would 've popped off,0
7,23, ( Quick flashback to : [_ROLLER_COASTER_WHEELS_] The nut is loose and pops off . ),0
7,24, ( End of flashback . ),0
7,25, ( Resume to present . ),0
7,26, [[Greg]] nuts do n't just pop off by themselves,0
7,27, [[Grissom]] we got tool marks,0
7,28," [[Grissom]] vertical striations , evenly spaced",0
7,29, [[Nick]] could 've been a pipe wrench,0
7,30, [[Sara]] maybe whoever maintains the roll coaster uses a pipe wrench to tighten the nuts,0
7,31, [[Nick]] or whoever loosened the nuts screwed up,0
8,0, ( WARRICK hands the morgue photo to RAINA to look at . ),0
8,1, [[Raina_Press]] it 's tessa,1
8,2, [[Raina_Press]] i do n't understand,0
8,3, [[Raina_Press]] how could this ... ?,0
8,4, [[Raina_Press]] my baby,1
8,5, [[Catherine]] i 'm very sorry,0
8,6," [[Raina_Press]] she 's beautiful , is n't she ?",1
8,7," [[Warrick]] ma'am , the coroner believes that tessa died over twenty-four hours ago",1
8,8, [[Warrick]] had you reported her missing ?,1
8,9," [[Raina_Press]] couple nights a week , she 'd sleep at her friend carrie 's",1
8,10, [[Raina_Press]] there 's just the two of us,1
8,11, [[Raina_Press]] i 'm a waitress,0
8,12, [[Raina_Press]] work nights,0
8,13, [[Raina_Press]] that way i can ... make her breakfast and be there when she gets home from school,0
8,14, [[Warrick]] when was the last time that you saw her ?,1
8,15, [[Raina_Press]] yesterday morning,0
8,16, [[Raina_Press]] i got home around 6:00,0
8,17, [[Raina_Press]] we made pancakes,0
8,18, [[Raina_Press]] i packed her lunch and kissed her good-bye,1
8,19," [[Raina_Press]] when she did n't come home from school , i just figured she was at carrie 's",1
8,20," [[Raina_Press]] i should have called , but i did n't want to be a nag",0
8,21, [[Raina_Press]] i want to see her,1
8,22," [[Catherine]] officer , could you please escort ms press ... to the morgue when 's the last time you went twenty-four hours without talking to lindsey ?",1
8,23," [[Catherine]] a single mother , working nights",1
8,24," [[Warrick]] i 'm just saying , she did n't check on her own kid , you know ?",0
8,25," [[Catherine]] ah , you do the best you can",1
9,0, ( ROBBINS goes over the bodies with GRISSOM . ),0
9,1, [[Robbins]] introductions,0
9,2," [[Robbins]] shelly hoffman , 25",1
9,3, [[Robbins]] cause of death -- lacerated ventricle,0
9,4," [[Robbins]] noah nuland , 15",1
9,5, [[Robbins]] c.o.d. -- head contusion,0
9,6, [[Robbins]] the swelling of the brain killed him within minutes,1
9,7," [[Robbins]] now , gary clodfelter died of shock",1
9,8," [[Robbins]] his wife , may , exsanguinated",1
9,9," [[Robbins]] and their son , cameron - another head contusion",1
9,10, [[Grissom]] what about this guy ?,0
9,11," [[Robbins]] jim nevins , 20",1
9,12, [[Robbins]] park employee,0
9,13, [[Robbins]] died from a temporal herniation,1
9,14," [[Robbins]] impact to the head caused the brain to swell , which , in turn , put pressure on the brain stem",1
9,15," [[Grissom]] according the ride operator , there were only five passengers on the roller coaster , and no employees",0
9,16, [[Robbins]] right,0
