scene_id,sentence_id,sentence_text,in_summary
0,0, ( Various flashes of a Man and a Woman nearly-naked and kissing passionately . ),0
0,1," ( A man quickly walks out from his driveway , his wife struggles to keep up with him . )",0
0,2," [[Wife]] honey , slow down",0
0,3, ( He pauses for a moment as she catches up with him . ),0
0,4, ( They keep going . ),0
0,5, ( She 's trying to put her heels on as they cross the street to the neighbor 's house . ),0
0,6, [[Wife]] hold on a second,0
0,7, [[Wife]] hold on,0
0,8, [[Husband]] leave it alone,0
0,9, [[Husband]] we 're already late,0
0,10," [[Wife]] well , if you had n't told the sitter the wrong time",0
0,11, ( They 're nearly there . ),0
0,12, [[Wife]] how do i look ?,0
0,13, ( He does n't look . ),0
0,14, [[Husband]] you look great,0
0,15, ( They continue on to the neighbor 's house . ),0
0,16, ( The doorbell rings . ),0
0,17," ( Erin Brady , the Hostess of the party , opens the door . )",0
0,18, ( She 's wearing a see-through black teddy as she greets her guests . ),0
0,19, ( There are others at the party also semi-dressed . ),0
0,20," [[Erin_Brady]] well , hey",0
0,21, [[Husband]] sorry we 're late,0
0,22," [[Erin_Brady]] no , i 'm so glad you guys could make it",0
0,23, ( She reaches out and grabs the bottle of champagne the Husband is holding . ),0
0,24, ( She turns and motions them inside the house . ),0
0,25, ( The party is well under way . ),0
0,26, ( The guests are half-naked and making-out on the couches and wherever there 's space . ),0
0,27," ( As the hostess heads into the house , a woman party guest is leaving . )",0
0,28," [[Party_Guest]] hey , sweetie , i got ta run",0
0,29, [[Party_Guest]] thanks for everything,0
0,30, [[Erin_Brady]] got ta be safe,0
0,31, [[Party_Guest]] bye-bye,0
0,32, ( The party guest leaves as the hostess heads further into the house . ),0
0,33, [[Erin_Brady]] you guys want a drink ?,0
0,34, [[Wife]] mm,0
0,35, [[Wife]] i 'll have champagne,0
0,36, [[Erin_Brady]] coming up,0
0,37," ( The Husband reclines on the couch next to a woman in her black , lacy underwear . )",0
0,38, ( The woman smiles and meets the wife as the wife heads off in a different direction leaving her husband with the woman . ),0
0,39," ( On the dining room table , a man and a woman , party guests , are necking . )",0
0,40, ( The Wife continues walking through the house . ),0
0,41, ( She stops in the kitchen and greets another couple . ),0
0,42," ( In the middle of the kitchen , she removes her dress . )",0
0,43, ( A woman jumps into the pool . ),0
0,44," ( At poolside , a Man is kissing a Woman on his right . )",0
0,45, ( He turns and kisses the woman on his left . ),0
0,46, ( The party continues . ),0
1,0, ( A dog barks . ),0
1,1," ( Inside , the party continues . )",0
1,2, ( A woman screams ),0
1,3, ( Everyone stops and looks in the same direction . ),0
1,4, [[WOMAN_Guest]] did you hear that ?,0
2,0, ( There 's a dead woman 's body in the water fountain in the center of the road . ),1
2,1, ( David Phillips leans over the edge of the fountain as he waits for the water to be turned off . ),0
2,2, ( Brass walks up to him . ),0
2,3, [[Brass]] what 's the matter ?,0
2,4, [[Brass]] ca n't do your work ?,0
2,5," [[Brass]] hey , fellas , what 's the holdup ?",0
2,6, [[Brass]] come on,0
2,7, [[Brass]] i told you half an hour ago turn the damn fountain off !,0
2,8, [[Brass]] give me a break,0
2,9," ( Together , Grissom and Sara duck under the crime scene tape on the way to the fountain Just outside the tape are the party-goers . )",0
2,10, ( Grissom puts his kit down . ),0
2,11, [[Brass]] you ca n't find good help,0
2,12," [[Grissom]] as lord byron once said , 'in the desert , a fountain is springing '",0
2,13," [[Brass]] well , this one sprung a dead woman ... vanessa keaton",1
2,14, [[Brass]] she lived over there,1
2,15, [[Brass]] a neighbor walking her dog found her,1
2,16, ( Grissom takes note of the crowd around the tape . ),0
2,17, [[Grissom]] this is a pretty well-dressed crowd for this time of night,0
2,18," [[Brass]] well , you know , it 's a shindig",0
2,19, [[Brass]] 43 niagara circle,0
2,20, [[Brass]] the vic was there with her husband,1
2,21, [[Brass]] who left the party early,0
2,22," [[Brass]] that 's dan keaton , and that 's his daughter amy",1
2,23," [[Grissom]] you know , you might want to sneak some photos of this crowd",0
2,24," [[Sara]] a gated community , middle of nowhere -- if this was n't an accident , they 're all suspects , are n't they ?",0
2,25, ( Sara turns around and snaps photos of the people in the crowd . ),0
2,26, ( The water in the fountain is still running . ),0
2,27, ( David does the best he can as he looks at the body . ),1
2,28, [[David_Phillips]] foam in her nose and mouth,1
2,29, [[David_Phillips]] it 's consistent with drowning,0
2,30, [[David_Phillips]] abrasion on her forehead is fresh,0
2,31, [[David_Phillips]] and,0
2,32, [[David_Phillips]] ... lividity is unfixed,0
2,33," [[Grissom]] well , since water motion has no effect",0
2,34, [[David_Phillips]] she 's been dead less than two hours,1
2,35, ( The fountain water shuts off . ),0
2,36, [[Brass]] thank you,0
2,37, [[Brass]] finally !,0
2,38, [[Grissom]] still waters run deep,0
3,0, ( Brass interviews Dan Keaton who is moaning and rubbing his head . ),0
3,1, [[Dan_Keaton]] i ca n't do this right now,0
3,2," [[Brass]] what , a little hung over ?",0
3,3," [[Brass]] too much to drink , maybe ?",0
3,4, [[Brass]] we 'll have a police officer get you some water,0
3,5, ( Brass turns to the officer standing behind him . ),0
3,6," [[Brass]] danny , help him out",0
3,7, ( Danny leaves to get the water . ),0
3,8," [[Brass]] so , the last time you saw your wife was at the party ?",0
3,9, [[Dan_Keaton]] erin and paul brady 's,0
3,10," [[Brass]] but you left early without your wife , right ?",0
3,11," [[Dan_Keaton]] yeah , i was n't in the mood",0
3,12, [[Dan_Keaton]] she was,0
3,13, [[Brass]] for what ?,0
3,14, [[Dan_Keaton]] partying,0
3,15, [[Brass]] what time did you leave ?,0
3,16, ( Amy Keaton walks down the stairs . ),1
3,17," [[Dan_Keaton]] around 11:00 , i think",0
3,18, [[Brass]] anyone see you come home ?,0
3,19, [[Brass]] maybe your daughter ?,1
3,20," [[Brass]] this is amy , right ?",1
3,21, [[Amy_Keaton]] i went out with friends,0
3,22, [[Amy_Keaton]] my curfew 's 1:00,0
3,23, [[Amy_Keaton]] i was a little late,0
3,24," [[Brass]] so , amy , did you see your parents when you came in ?",1
3,25, [[Amy_Keaton]] my mom was in detroit,0
3,26, [[Amy_Keaton]] vanessa 's my stepmom,1
3,27, [[Amy_Keaton]] the tv was on in their room,0
3,28, [[Amy_Keaton]] i snuck into my room and went to bed,0
3,29, [[Amy_Keaton]] the sirens woke me up,0
3,30," [[Brass]] the sirens , huh ?",0
4,0, ( The Coroners remove the body on the gurney . ),0
4,1, ( Sara and Greg watch . ),0
4,2, ( Greg is holding the camera . ),0
4,3," [[Sara]] you know , they never go home until they see the body taken away ?",0
4,4, [[Greg]] necrophilic voyeurism,0
4,5, ( The crowd starts to disburse . ),0
4,6, ( Sara kneels down next to the fountain and looks inside . ),0
